Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FCC       ;CN 1/2016;CONCURSO;Contratação de músicos/compositores selecionados pelo Edital nº 030/2016, em conformidade com o Edital de Concurso nº 061/2015, o qual visa a seleção de projetos para a participação do evento "Festival de Cultura Popular".;R$ 15.000,00;Rua Engenheiros Rebouças, 1732;14/04/2016;01-129650/2015;04/05/2016;05/07/2016;Confirmado Vencedor
SMMA      ;DT 7/2016;Dispensa de Licitação - TCE;Contratação de Empresa para execução de serviços especiais de limpeza, roçada e drenagem nos parques e bosques do Município de Curitiba, visando o controle da proliferação do mosquito Aedes Aegypti.;R$ 450.000,00;Av. Manoel Ribas, 2727, Superintendência de Obras e Serviços;18/04/2016;01-024271/2016;02/05/2016;01/11/2016;Confirmado Vencedor
SMOP      ;RD 1/2016;Regime Diferenciado de Contratações - Presencial;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRA NA LINHA VERDE NORTE LOTE 3.2 - EXECUÇÃO DE TRINCHEIRA NA RUA FULVIO ALICE OBRA E ALÇAS.;R$ 27.196.455,44;Linha Verde Norte;19/04/2016;01-003608/2016;27/09/2016;29/11/2019;Confirmado Vencedor
FMAS      ;PE 5/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE VIDROS, MASSAS E ESPELHOS NA MODALIDADE DE REGISTRO DE PREÇOS.;;conforme empenho;14/04/2016;01-032011/2016;14/04/2016;14/04/2017;Processo Fracassado
SETRAN    ;PE 66/2016;PREGÃO ELETRÔNICO;Prestação de serviços para confecção e fornecimento de 10 mil fitas refletivas de segurança  para pedestres e ciclistas.;R$ 39.700,00;Conforme recibo de entrega;14/04/2016;01-024454/2016;10/05/2016;31/07/2016;Empenhado
FMS       ;PE 38/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 147,60;Rua Francisco Torres, 830 - Centro - Curitiba-Pr - Andar C - Sala C 2;15/04/2016;01-036204/2016;06/05/2016;16/05/2016;Parcialmente Empenhado
SMMA      ;CP 13/2016;Concorrência Pública;Contratação de empresa para execução de serviços para manutenção e conservação do Departamento de Produção Vegetal com plantio de árvores, de estoca de tocos e raízes e paisagismo do Município de Curitiba.;R$ 1.044.000,00;Departamento de Produção Vagetal da SMMA.;12/09/2016;01-006349/2016;09/02/2017;08/06/2020;Confirmado Vencedor
SMMA      ;CP 14/2016;Concorrência Pública;Contratação de empresa para execução de serviços de engenharia para Conservação, Manutenção e Readequação dos Cemitérios Públicos Municipais no Município de Curitiba.;R$ 480.000,00;Departamento de Serviços Especiais da SMMA.;18/04/2016;01-006060/2016;01/08/2016;31/07/2021;Confirmado Vencedor
FMS       ;PE 39/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 18.782,50;R. Primo Lourenço Tosin,1021 -Novo Mundo- Laboratório Municipal da SMS;18/04/2016;01-032688/2016;15/04/2016;10/06/2017;Parcialmente Empenhado
SME       ;PE 67/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE CONFECÇÃO E INSTALAÇÃO DE CORTINAS EM MALHÃO COM FORNECIMENTO DE TRILHOS E ACESSÓRIOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 280.000,00;Conforme Anexo II do Edital de Embasamento.;18/04/2016;01-017794/2016;15/04/2016;05/07/2017;Empenhado
SGM       ;PE 68/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE MATERIAL DE EXPEDIENTE".Aquisição de material de expediente, copo descartável e guardanapo de papel;R$ 44.019,74;;20/04/2016;01-162803/2015;16/05/2016;07/07/2016;Parcialmente Empenhado
SMDT      ;PE 70/2016;PREGÃO ELETRÔNICO;TORRE DE TELECOMUNICAÇÃOTorre em aço galvanizado para estação rádio base com 30m de altura.;R$ 35.000,00;Rua Maria Lúcia Locher de Athaíde nº 1000 Parque dos Tropeiros CIC;15/04/2016;01-024854/2016;09/05/2016;08/06/2016;Empenhado
ICS       ;DT 31/2016;Dispensa de Licitação - TCE;Aquisição do medicamento Orencia;R$ 16.071,96;RUA SANTO ANTONIO, 400;15/04/2016;01-032968/2016;;;Autorização de Fornecimento Gerada
SMDT      ;PE 71/2016;PREGÃO ELETRÔNICO;AR CONDICIONADO, MANUTENÇÃO/CONSERTO.;R$ 4.600,00;Rua Capitão Souza Franco,13 Batel;20/04/2016;01-025360/2016;12/05/2016;22/05/2016;Empenhado
FAAC      ;PE 5/2016;PREGÃO ELETRÔNICO;SERVIÇO DE INSTALAÇÃO DE ELETROCALHAS COM FORNECIMENTO DE MATERIAIS E ACESSÓRIOS. ;R$ 3.140,00;conforme edital e termo de referência.;05/07/2016;01-029278/2016;28/07/2016;27/08/2016;Empenhado
FCC       ;PE 6/2016;PREGÃO ELETRÔNICO;Captação e registro documentário - Festival de Música das Regionais.;R$ 14.000,00;Rua Engenheiros Rebouças 1732;18/04/2016;57-000047/2016;10/05/2016;07/08/2016;Confirmado Vencedor
FCC       ;PE 7/2016;PREGÃO ELETRÔNICO;Serviços de locação de som, luz, palco e tendas ;R$ 18.358,23;Conforme Anexo I do Edital de Embasamento;18/04/2016;57-000046/2016;10/05/2016;06/09/2016;Confirmado Vencedor
IMAP      ;PE 7/2016;PREGÃO ELETRÔNICO;Contratação de empresa para a prestação do Serviço de Gráfica para confecção de 1.000 exemplares do livro Anais do II Seminário Internacional "Estado, Planejamento e Administração Pública no Brasil - 2015".;R$ 7.530,00;CONFORME EMPENHO;19/04/2016;53-000028/2016;05/05/2016;20/05/2016;Empenhado
SMOP      ;PE 72/2016;PREGÃO ELETRÔNICO;Prestação de Serviços de Elaboração de PROJETO DE MURO DE CONTENÇÃO DE MARGEM-SMOP.;R$ 20.000,00;Conforme recibo de entrega.;19/04/2016;01-155017/2015;08/06/2016;05/12/2016;Empenhado
FMS       ;PE 40/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE .;R$ 3.798,00;Rua João Bettega, 3350 - CIC - Almoxarifado da SMS;19/04/2016;01-036230/2016;20/05/2016;30/05/2016;Parcialmente Empenhado
SME       ;IN 25/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Estudos e Pesquisa Teatral.;R$ 3.360,00;Conforme processo original;25/04/2016;01-116875/2015;26/04/2016;22/12/2016;Empenhado
SME       ;IN 26/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Jogos Malabaristicos.;R$ 1.600,00;Conforme processo original;25/04/2016;01-028002/2016;26/04/2016;22/12/2016;Empenhado
SME       ;IN 27/2016;Inexigibilidade de Licitação;Serviço: Curso  Projeto de Implantação da Fanfarra Infantojuvenil para a Rede Municipal de Ensino de Curitiba.;R$ 5.600,00;Conforme processo original;25/04/2016;01-134639/2015;26/04/2016;22/12/2016;Empenhado
SME       ;IN 28/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: WISC lV.;R$ 1.680,00;Conforme processo original;25/04/2016;01-027537/2016;26/04/2016;22/12/2016;Empenhado
FMAS      ;IN 2/2016;Inexigibilidade de Licitação;CONTRATAÇÃO DA DOCENTE ELIZABETH NERY SINNOTT PARA REALIZAÇÃO DE CAPACITAÇÃO DE GESTÃO DE PESSOAS E DESENVOLVIMENTO PESSOAL E INTERPESSOAL NA RELAÇÃO DE TRABALHO E MEDIAÇÕES DE CONFLITOS A CAPACITAÇÃO OCORRERÁ ENTRE OS MESES DE MAIO E AGOSTO DE 2016.;R$ 40.656,00;Conforme empenho;20/04/2016;01-039079/2016;26/04/2016;06/05/2016;Empenhado
SMELJ     ;FN 22/2016;Financeiro;Termo de Cooperação Técnica com a Associação Beneficiente Encontro com Deus.PASE;R$ 0,00;Solimões 160 SMELJ;19/04/2016;01-105174/2012;19/04/2016;18/04/2017;Confirmado Vencedor
ICS       ;DT 32/2016;Dispensa de Licitação - TCE;Aquisição de medicamento Nexavar 200mg;;Rua Santo Antonio,400;19/04/2016;01-039793/2016;;;Cotação Informada
FMHIS     ;PE 2/2016;PREGÃO ELETRÔNICO;Contratação de empresa para prestação de serviços de demolição, remoção e destinação de resíduos da construção civil, visando atendimentos em áreas públicas de interesse social e de atuação da COHAB-CT em Curitiba.;R$ 313.175,08;Indicado na Autorização de Serviço a cada etapa.;22/04/2016;01-031317/2015;20/07/2016;09/07/2018;Confirmado Vencedor
ICS       ;PE 28/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO MEDICAMENTO ESTOQUE                         ;R$ 58.930,45;RUA SANTO ANTONIO, 400;19/04/2016;57-000035/2016;19/04/2016;14/06/2017;Parcialmente Empenhado
CTBA S/A  ;PE 6/2016;PREGÃO ELETRÔNICO;A presente licitação tem por objeto a contratação de empresa para aquisição de lavadora de alta pressão e roçadeiras para a COMPANHIA DE DESENVOLVIMENTO DE CURITIBA - CURITIBA S.A., conforme especificações e quantitativos descritos no Anexo I do respectivo Edital, bem como as características mínimas contidas no formulário proposta eletrônica e anexos, partes integrante deste Edital, à disposição no Portal de Compras da Prefeitura Municipal de Curitiba (www.e-compras.curitiba.pr.gov.br).;R$ 2.497,00;RUA BARAO DO RIO BRANCO 45 - 8º ANDAR;22/04/2016;04-016235/2016;;;Autorização de Fornecimento Gerada
PGM       ;IN 29/2016;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE CURSO DE 15 PROCURADORES.;R$ 7.000,00;conforme recibo de entrega;20/04/2016;04-016149/2016;22/04/2016;07/05/2016;Empenhado
ICS       ;PE 29/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTO MÉDICO.                ;R$ 9.480,00;RUA SANTO ANTONIO, 400 REBOUÇAS;22/04/2016;57-000041/2016;;;Autorização de Fornecimento Gerada
SMMA      ;PE 73/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE FERROS E DE MATERIAL ELÉTRICO E HIDRÁULICO PARA USO DA SECRETARIA MUNICIPAL DO MEIO AMBIENTE.;R$ 31.257,42;conforme recibo de entrega;25/04/2016;01-027217/2016;02/06/2016;22/06/2016;Parcialmente Empenhado
FAAC      ;PE 6/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS PARA A INFRAESTRUTURA DA REDE LÓGICA. ;R$ 1.794,01;DE ACORDO COM O EDITAL;06/05/2016;01-029276/2016;19/05/2016;18/06/2016;Empenhado
FMAS      ;IN 3/2016;Inexigibilidade de Licitação;CHAMAMENTO PÚBLICO PARA SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS, JOVENS E ADULTOS NA MODALIDADE DE CASA LAR E ABRIGO INSTITUCIONAL, PELO PERÍODO DE 24(VINTE E QUATRO) MESES.;R$ 13.728.950,40;Conforme Termo de Convênio;22/04/2016;01-023180/2016;;;Processo Concluído
SME       ;PE 74/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA E EMPRESA DE PEQUENO PORTE PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 100.415,73;Rua General Potiguara, 975B - Novo Mundo;22/04/2016;01-025644/2016;20/04/2016;05/07/2017;Parcialmente Empenhado
SME       ;PE 75/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA  AQUISIÇÃO DE ROUPAS DE CAMA, ROUPAS DE BANHO E VESTUÁRIO INFANTIL PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA E EMPRESA DE PEQUENO PORTE PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 247.469,00;Rua General Potiguara, 975B - Novo Mundo.;22/04/2016;01-024279/2016;20/04/2016;07/06/2017;Parcialmente Empenhado
FMS       ;PE 41/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ÁLCOOL GEL (ANTISSÉPTICO) E LUVAS CIRÚRGICAS;R$ 87.750,00;Rua João Bettega, 3350 - CIC - Almoxarifado da SMS;22/04/2016;01-042002/2016;20/05/2016;30/05/2016;Empenhado
SMOP      ;CP 15/2016;Concorrência Pública;EXECUÇÃO DE OBRAS DE ENGENHARIA CIVIL, IMPLANTAÇÃO DE MURO DE ARRIMO NAS MÁRGENS DO CÓRREGO GAVA NA LATERAL DA RUA BENEDITO CORREIA DE FREITAS, TRECHO ENTRE RUA ANTONIO KRAINSKI E RUA ALDO PINHEIRO, BAIRRO ABRANCHES.;R$ 599.985,63;Córrego Gava;25/04/2016;01-010836/2016;28/07/2016;23/05/2017;Confirmado Vencedor
ICS       ;DT 33/2016;Dispensa de Licitação - TCE;Aquisição de medicamento Aubagio 14mg;R$ 15.932,22;Rua Santo Antonio, 400;20/04/2016;01-038035/2016;;;Confirmado Vencedor
IPMC      ;IN 2/2016;Inexigibilidade de Licitação;Inscrição de 10 servidores do IPMC para participar do 10 SEMINÁRIO PARANAENSE DE PREVIÊNCIA  que será realizado nos dias 25 e 26 de abril de 2016 em Curitiba.;R$ 2.500,00;AV. JOÃO GUALBERTO Nº 623 MEZANINO;22/04/2016;08-001417/2016;22/04/2016;02/05/2016;Empenhado
SME       ;PE 76/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE CONFECÇÃO DE BANNER PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA E EMPRESA DE PEQUENO PORTE PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 5.100,00;Em locais a serem definidos pela SME;25/04/2016;01-025258/2016;22/04/2016;07/06/2017;Empenhado
PGM       ;IN 30/2016;Inexigibilidade de Licitação;Prestação serviço de Curso de Especialização;R$ 6.615,00;conforme recibo de entrega;27/04/2016;01-035027/2016;29/04/2016;23/06/2017;Empenhado
ICS       ;PE 30/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ÁGUA MINERAL.                           ;R$ 2.840,50;RUA SANTO ANTONIO, 400 REBOUÇAS;26/04/2016;57-000044/2016;;;Autorização de Fornecimento Gerada
SEPLAD    ;PE 77/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE UM PAR DE TABELA DE BASQUETE HIDRÁULICA ELÉTRICA, ;R$ 23.299,98;conforme recibo de entrega;27/04/2016;01-019778/2016;16/05/2016;16/07/2016;Empenhado
SETRAN    ;PE 78/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE 10.000 (DEZ MIL) CAIXAS PARA ARQUIVO, EM CHAPA PLÁSTICA DE POLIPROPILENO, PELO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 MESES, PARA ATENDER A SECRETARIA MUNICIPAL DE TRÂNSITO - SETRAN;R$ 38.890,00;Conforme empenho;26/04/2016;01-033935/2016;25/04/2016;30/06/2017;Empenhado
SME       ;DT 8/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DO SISTEMA GRF - GESTÃO DE RECURSOS FINANCEIROS, junto à CELEPAR, em razão da Implantação  do PROGRAMA FUNDO ROTATIVO pela PMC/SME para as unidades escolares.;R$ 378.752,51;Conforme Processo original;25/04/2016;01-104765/2015;29/04/2016;27/04/2020;Confirmado Vencedor
FMS       ;PE 42/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 3.030,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;26/04/2016;01-042506/2016;30/05/2016;09/06/2016;Parcialmente Empenhado
ICS       ;PE 31/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL MÉDICO.                              ;R$ 235.935,23;RUA SANTO ANTONIO, 400 REBOUÇAS;26/04/2016;57-000024/2016;25/04/2016;31/07/2017;Parcialmente Empenhado
SME       ;PE 79/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CARIMBO E BORRACHA PARA CARIMBO AUTO ENTINTÁVEL PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 2.300,00;Conforme formulário-proposta.;25/04/2016;01-029168/2016;17/05/2016;16/06/2016;Empenhado
IPPUC     ;PE 2/2016;PREGÃO ELETRÔNICO;Serviço de confecção e instalação de persianas ;R$ 3.750,00;IPPUC;25/04/2016;01-025651/2016;25/05/2016;09/06/2016;Empenhado
FMS       ;PE 43/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICRO EMPRESAS E EMPRESAS DE PEQUENO PORTE - ME/EPP.;R$ 1.654.987,50;Rua João Bettega, 3350 - CIC - Almoxarifado SMS.;26/04/2016;01-033764/2016;25/04/2016;10/06/2017;Parcialmente Empenhado
FMHIS     ;DT 1/2016;Dispensa de Licitação - TCE;Contratação de empresa para prestação de serviços de ações sócio ambientais de combate ao mosquito Aedes Aegypiti e realização de roçada e limpeza de terrenos de propriedade da COHAB-CT e FMHIS.  A empresa a ser contratada deverá realizar ações consistindo em visitas aos locais indicados pela formação de multiplicadores no trabalho educativo de combate ao mosquito. Para a realização do trabalho a empresa deverá dispor de profissionais Técnicos Ambientais, de veículo de passeio com motorista para transporte de equipe, sacos para lixos, caçambas metálicas estacionárias para recolhimento, transporte e disposição de detritos, entulho e lixo em local devidamente autorizado pela Prefeitura Municipal de Curitiba, incluindo o fornecimento de toda infraestrutura necessária para a realização dos trabalhos.;R$ 349.915,33;COHAB;28/04/2016;01-036977/2016;04/04/2016;29/11/2016;Confirmado Vencedor
SME       ;PE 80/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TECIDO EM VOIL, ELÁSTICOS ROLIÇO E CHATO PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA E EMPRESA DE PEQUENO PORTE PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 8.205,50;RUA GENERAL POTIGUARA, 975 B-ALMOXARIFADO NOVO MUNDO.;27/04/2016;01-029841/2016;17/05/2016;16/06/2016;Empenhado
SGM       ;PE 81/2016;PREGÃO ELETRÔNICO;Aquisição de Ralo Ferro com Reserva de Cota 25% ME-EPP.;R$ 119.500,00;CONFORME ANEXO III DO EDITAL DE EMBASAMENTO;27/04/2016;01-023021/2016;25/04/2016;24/05/2017;Empenhado
SME       ;PE 82/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇO DE PINTURA COM FORNECIMENTO DE MATERIAIS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES, PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 972.485,28;Conforme formulário-proposta.;27/04/2016;01-016717/2016;25/04/2016;20/05/2017;Parcialmente Empenhado
IPPUC     ;PE 3/2016;PREGÃO ELETRÔNICO;Aquisição de equipamentos para substituição dos mesmos danificados por descarga elétrica.;R$ 4.650,00;Rua Bom Jesus, 669 - Bairro Cabral - Curitiba-Pr.;27/04/2016;01-027861/2016;20/05/2016;19/06/2016;Pedido ou Empenho Anulado
FMS       ;IN 2/2016;Inexigibilidade de Licitação;AQUISIÇÃO DE INSCRIÇÃO PARA CURSOS E CONFERÊNCIAS DE CAPACITAÇÃO E APERFEIÇOAMENTO.;R$ 7.000,00;RUA ATÍLIO BÓRIO 680;26/04/2016;01-038066/2016;27/04/2016;12/05/2016;Empenhado
SME       ;IN 31/2016;Inexigibilidade de Licitação;Contratação de capacitação para os profissionais de serviços escolares da RME, com o tema: Possibilidades e desafios da função de auxiliar de serviços escolares-2016.;R$ 38.800,00;Conforme processo original;27/04/2016;01-040841/2016;28/04/2016;04/12/2016;Empenhado
SMDT      ;PE 83/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE IMPRESSÃO DE MATERIAL GRÁFICO.;R$ 23.200,00;RUA JOÃO BETTEGA, 3.350 CIDADE INDUSTRIAL CURITIBA-PR;27/04/2016;01-148147/2015;18/05/2016;07/06/2016;Empenhado
SMOP      ;PE 84/2016;PREGÃO ELETRÔNICO;Contratação de empresa de engenharia elétrica para execução de serviço comuns de instalação de iluminação pública em vias e calçadas no Centro Histórico de Curitiba, PELO SISTEMA REGISTRO DE PREÇOS PELO PERÍODO DE 150(Cento e cinquenta) dias - SMOP;R$ 750.000,00;conforme recibo de entrega.;28/04/2016;01-013253/2016;26/04/2016;02/11/2016;Empenhado
URBS      ;DT 1/2016;Dispensa de Licitação - TCE;Abertura de Processo de Dispensa de Licitação a fim de firmar Termo de Outorga de Permissão de Uso para empresa COMPANHIA DE SANEAMENTO DO PARANÁ - SANEPAR em atendimento ao Protocolo 01-128349/2015.;R$ 69.290,40;CONFORME CONSTA DO PROCESSO;27/04/2016;01-014090/2016;04/05/2016;03/05/2026;Confirmado Vencedor
URBS      ;IN 1/2016;Inexigibilidade de Licitação;Contratação do escritório Milano & Dantas Sociedade de Advogados, para prestação de serviços de patrocínio/defesa judicial da URBS nas seguintes demandas trabalhistas: 33846/2014, 49445/2015, 50297/2015 e na ação civil pública 35596/2015.;R$ 82.200,00;CONFORME CONSTA DO PROCESSO;27/04/2016;01-022402/2016;28/04/2016;26/04/2023;Confirmado Vencedor
FAAC      ;PE 7/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE SACOLAS OXI-BIODEGRADAVEIS.;R$ 272.700,00;RUA CAPITÃO JOÃO BUSSE, 660 - CAJURU;27/04/2016;01-023018/2016;03/06/2016;03/07/2016;Parcialmente Empenhado
FMS       ;IN 3/2016;Inexigibilidade de Licitação;CONTRATO PARA PRESTAÇÃO DE SERVIÇOS ASSISTÊNCIA À SAÚDE NO SISTEMA ÚNICO DE SAÚDE - SUS. ENTRE O MUNICÍPIO DE CURITIBA E O HOSPITAL UNIVERSITÁRIO EVANGÉLICO DE CURITIBA. PELO PERÍODO DE 12 (DOZE) MESES. ;R$ 110.482.485,28;RUA FRANCISCO TORRES, 830 - SMS;29/04/2016;01-010478/2016;28/04/2016;28/04/2019;Confirmado Vencedor
ICS       ;PE 32/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL ODONTOLÓGICO;R$ 3.659,90;RUA SANTO ANTONIO, 400 REBOUÇAS;29/04/2016;57-000049/2016;27/04/2016;27/05/2017;Parcialmente Empenhado
SMSAN     ;FN 23/2016;Financeiro;TERMO DE COOPERAÇÃO TÉCNICA FIRMADO ENTRE O MUNICÍPIO DE CURITIBA E O SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS - SEBRAE.;R$ 0,00;RUA GENERAL CARNEIRO, 938 - 5º ANDAR;27/04/2016;01-043561/2016;28/04/2016;27/04/2018;Confirmado Vencedor
FAAC      ;DT 1/2016;Dispensa de Licitação - TCE;LOCAÇÃO DE IMÓVEL PARA IMPLANTAÇÃO DO ARMAZÉM VILA TORRES, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 38.520,00;SMAB;28/04/2016;01-161158/2015;01/05/2016;30/04/2021;Confirmado Vencedor
FAAC      ;PE 8/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, CONSERVAÇÃO COM FORNECIMENTO DE MÃO DE OBRA, EPI's, MATERIAL HIGIENE, LIMPEZA E EQUIPAMENTOS, NAS UNIDADES DA SECRETARIA MUNICIPAL DO ABASTECIMENTO - SMAB;R$ 1.997.097,00;Conforme ordem de serviço;05/05/2016;01-115377/2014;01/07/2016;30/06/2021;Confirmado Vencedor
SMMA      ;DT 9/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE PRODUTOS HORTIGRANJEIROS.;R$ 188.328,30;João Miqueletto s/n;27/04/2016;42-000068/2016;28/04/2016;03/05/2016;Empenhado
IMAP      ;IN 5/2016;Inexigibilidade de Licitação;INSCRIÇÃO DA SERVIDORA JOSIANE STIVAL KUS NO CURSO DA CIPA - COMISSÃO INTERNA DE PREVENÇÃO DE ACIDENTES;R$ 147,50;IMAP;29/04/2016;53-000045/2016;29/04/2016;29/05/2016;Empenhado
FCC       ;IN 12/2016;Inexigibilidade de Licitação;Contratação de BADARÓ DE ALMEIDA E ADVOGADOS ASSOCIADOS - ME, para executar prestação de serviços advocatícios, para fins de acompanhamento processual e elaboração de defesa jurídica da Fundação Cultural de Curiitba nos processos que tramitam na justiça de Nova Viçosa - BA.;R$ 33.200,00;Rua Engenheiros Rebouças, 1732;28/04/2016;01-039033/2016;02/05/2016;31/05/2017;Confirmado Vencedor
